EmpID,Employee Job Title,Region,OrderType,CustState,ProdCategory,ProdID,Quantity,Price,Discount,Total,IsBusiness,Sales Tier,Is Senior Sales,ID,Category,ProductName,ListPrice
900019008,Sales Associate V,S Central East,Retail,Texas,Mineral water,MW272,2,20.9899998,0,41.9799995,False,5,True,MW272,Mineral water,Mineral Water - Cranberry - 32oz - case,20.9899998
900016448,Sales Associate IV,Northeast,Retail,Pennsylvania,Mineral water,MW262,3,20.9899998,0,62.9700012,False,4,True,MW262,Mineral water,Mineral Water - Strawberry - 32oz - case,20.9899998
900017984,Sales Associate I,S Central West,Retail,Arizona,Supplements,SP607,1,24.1000004,0,24.1000004,False,1,False,SP607,Supplements,Vitamin B-complex - 200 capsules,24.1000004
900018688,Sales Associate II,S Central East,Retail,Texas,Supplements,SP202,3,4.75,0,14.25,False,2,False,SP202,Supplements,Iron 65 mg - 80 capsules,4.75
900016128,Sales Associate I,N Central West,Retail,North Dakota,Supplements,SP202,2,4.75,0,9.5,False,1,False,SP202,Supplements,Iron 65 mg - 80 capsules,4.75
900011712,Sales Associate I,Southeast,Retail,Florida,Supplements,SP203,1,19.5200005,0,19.5200005,False,1,False,SP203,Supplements,Vitamin B-complex - 160 capsules,19.5200005
900016320,Sales Associate II,S Central East,Retail,Oklahoma,Fitness,FT357,1,69.9899979,0,69.9899979,False,2,False,FT357,Fitness,Kettlebell - 25 lb,69.9899979
900014592,Sales Associate II,Northeast,Retail,Pennsylvania,Fitness,FT280,1,43.9500008,0,43.9500008,False,2,False,FT280,Fitness,Slam ball - 5 lb,43.9500008
900015104,Sales Associate I,Northeast,Retail,Massachusetts,Mineral water,MW202,1,16.9899998,0,16.9899998,False,1,False,MW202,Mineral water,Mineral Water - Natural -  32oz - case,16.9899998
900015104,Sales Associate I,Northeast,Retail,New Jersey,Mineral water,MW222,3,20.9899998,0,62.9700012,False,1,False,MW222,Mineral water,Mineral Water - Lemon - 32oz - case,20.9899998
900018240,Sales Associate V,Central East,Retail,District of Columbia,Supplements,SP126,1,14.6000004,0,14.6000004,False,5,True,SP126,Supplements,Vitamin C-1000 mg - 140 tablets,14.6000004
900016128,Sales Associate I,N Central West,Retail,North Dakota,Fitness,FT609,1,20.7900009,0,20.7900009,False,1,False,FT609,Fitness,Yoga ball - 55cm,20.7900009
900015488,Sales Associate V,N Central East,Retail,Ohio,Mineral water,MW122,1,20.9899998,0,20.9899998,False,5,True,MW122,Mineral water,Mineral Water - Blueberry - 32oz - case,20.9899998
900015488,Sales Associate V,N Central East,Retail,Ohio,Mineral water,MW122,1,20.9899998,0,20.9899998,False,5,True,MW122,Mineral water,Mineral Water - Lemon -  20oz - case,14.9899998
900014080,Sales Associate II,Central East,Retail,West Virginia,Supplements,SP202,353,4.75,0,1676.75,True,2,False,SP202,Supplements,Iron 65 mg - 80 capsules,4.75
900016448,Sales Associate IV,Northeast,Retail,Pennsylvania,Mineral water,MW122,6,20.9899998,0,125.940002,False,4,True,MW122,Mineral water,Mineral Water - Blueberry - 32oz - case,20.9899998
900016448,Sales Associate IV,Northeast,Retail,Pennsylvania,Mineral water,MW122,6,20.9899998,0,125.940002,False,4,True,MW122,Mineral water,Mineral Water - Lemon -  20oz - case,14.9899998
900016448,Sales Associate IV,Northeast,Retail,Connecticut,Supplements,SP126,2,14.6000004,0,29.2000008,False,4,True,SP126,Supplements,Vitamin C-1000 mg - 140 tablets,14.6000004
900012736,Sales Associate V,N Central East,Retail,Ohio,Supplements,SP120,2,27.5,0,55,False,5,True,SP120,Supplements,Multivitamin - 180 capsules,27.5
900012992,Sales Associate V,Central East,Retail,Kentucky,Supplements,SP304,1,12.4899998,0,12.4899998,False,5,True,SP304,Supplements,Flaxseed Oil 1000mg - 90 capsules,12.4899998
900012224,Sales Associate I,S Central East,Retail,Texas,Fitness,FT871,1,120.25,0,120.25,False,1,False,FT871,Fitness,Battle rope - 2 inch,120.25
900010432,Sales Associate I,N Central East,Retail,Illinois,Fitness,FT139,1,55.9500008,0,55.9500008,False,1,False,FT139,Fitness,Insulated water bottle - 24oz - Blue,19.9899998
900010432,Sales Associate I,N Central East,Retail,Illinois,Fitness,FT139,1,55.9500008,0,55.9500008,False,1,False,FT139,Fitness,Slam ball - 25 lb,55.9500008
900010816,Sales Associate V,Northwest,Retail,Idaho,Fitness,FT853,1,29.9899998,0,29.9899998,False,5,True,FT853,Fitness,Yoga mat - 6mm,29.9899998
900012288,Sales Associate I,S Central West,Retail,Arizona,Mineral water,MW122,2,14.9899998,0,29.9799995,False,1,False,MW122,Mineral water,Mineral Water - Blueberry - 32oz - case,20.9899998
900012288,Sales Associate I,S Central West,Retail,Arizona,Mineral water,MW122,2,14.9899998,0,29.9799995,False,1,False,MW122,Mineral water,Mineral Water - Lemon -  20oz - case,14.9899998
900018688,Sales Associate II,S Central East,Retail,Texas,Supplements,SP305,1,32.6500015,0,32.6500015,False,2,False,SP305,Supplements,Magnesium 250 mg - 160 tablets,32.6500015
900017984,Sales Associate I,S Central West,Wholesale,Colorado,Mineral water,MW252,84,20.9899998,0.0500000007,1763.10999,True,1,False,MW252,Mineral water,Mineral Water - Raspberry - 32oz - case,20.9899998
900012288,Sales Associate I,S Central West,Retail,Colorado,Mineral water,MW262,282,20.9899998,0,5919.18018,True,1,False,MW262,Mineral water,Mineral Water - Strawberry - 32oz - case,20.9899998
900018240,Sales Associate V,Central East,Retail,Delaware,Supplements,SP202,2,4.75,0,9.5,False,5,True,SP202,Supplements,Iron 65 mg - 80 capsules,4.75
